Name,Description,Outlook Booked,WiFi Count,Tenant Complaint,Logic Action,Energy Reduction %,Hourly Savings SGD,Energy Saved kWh,Carbon Avoided Tonnes
West Wing - Slot 36,Regular working hours with standard occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite B - Slot 37,Executive meeting in progress,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Training Center - Slot 38,Executive meeting in progress,False,19,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Conference Suite A - Slot 39,Post-meeting cleanup period,True,27,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Conference Suite A - Slot 40,Executive meeting in progress,False,13,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
North Wing - Slot 41,Training session with full capacity expected,False,13,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
West Wing - Slot 42,Training session with full capacity expected,True,27,False,Maintain Normal Comfort,0,0.0,0.0,0.0
North Wing - Slot 43,Unscheduled visitors occupying the space,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Cafeteria - Slot 44,Meeting scheduled in calendar but attendees not present,False,18,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Open Plan - Slot 45,Early morning setup before main occupancy,True,72,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Executive Floor - Slot 46,Executive meeting in progress,True,9,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Meeting Room 101 - Slot 47,Off-peak hours with minimal activity,True,12,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Cafeteria - Slot 48,Early morning setup before main occupancy,True,64,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Hot Desk Area - Slot 49,Early morning setup before main occupancy,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Meeting Room 202 - Slot 50,Off-peak hours with minimal activity,True,10,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Training Center - Slot 51,Off-peak hours with minimal activity,True,26,False,Maintain Normal Comfort,0,0.0,0.0,0.0
North Wing - Slot 52,Post-meeting cleanup period,True,26,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Central Hub - Slot 53,Executive meeting in progress,True,14,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Central Hub - Slot 54,Post-meeting cleanup period,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
East Wing - Slot 55,Early morning setup before main occupancy,True,26,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Meeting Room 202 - Slot 56,Off-peak hours with minimal activity,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
South Wing - Slot 57,Standard office space with scheduled occupancy,True,14,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 58,Team collaboration area with dynamic usage,True,33,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Hot Desk Area - Slot 59,Early morning setup before main occupancy,True,32,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Lobby Area - Slot 60,Meeting scheduled in calendar but attendees not present,True,7,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Cafeteria - Slot 61,Team collaboration area with dynamic usage,False,66,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Conference Suite B - Slot 62,Training session with full capacity expected,True,23,True,TENANT OVERRIDE -> Reverting to Max Comfort,0,0.0,0.0,0.0
Cafeteria - Slot 63,Meeting scheduled in calendar but attendees not present,False,22,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
West Wing - Slot 64,Team collaboration area with dynamic usage,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite A - Slot 65,Executive meeting in progress,False,9,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Conference Suite B - Slot 66,Post-meeting cleanup period,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
West Wing - Slot 67,Early morning setup before main occupancy,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Conference Suite B - Slot 68,Regular working hours with standard occupancy,False,11,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
South Wing - Slot 69,Regular working hours with standard occupancy,True,28,True,TENANT OVERRIDE -> Reverting to Max Comfort,0,0.0,0.0,0.0
Conference Suite A - Slot 70,Training session with full capacity expected,True,15,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Hot Desk Area - Slot 71,Standard office space with scheduled occupancy,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Executive Floor - Slot 72,Early morning setup before main occupancy,False,10,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Conference Suite B - Slot 73,Team collaboration area with dynamic usage,True,24,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Lobby Area - Slot 74,Unscheduled visitors occupying the space,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
South Wing - Slot 75,Training session with full capacity expected,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Central Hub - Slot 76,Standard office space with scheduled occupancy,False,8,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Conference Suite A - Slot 77,Standard office space with scheduled occupancy,True,17,False,Maintain Normal Comfort,0,0.0,0.0,0.0
East Wing - Slot 78,Off-peak hours with minimal activity,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Training Center - Slot 79,Executive meeting in progress,False,7,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Lobby Area - Slot 80,Regular working hours with standard occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
West Wing - Slot 81,Early morning setup before main occupancy,True,19,False,Maintain Normal Comfort,0,0.0,0.0,0.0
North Wing - Slot 82,Unscheduled visitors occupying the space,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
West Wing - Slot 83,Meeting scheduled in calendar but attendees not present,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
South Wing - Slot 84,Meeting scheduled in calendar but attendees not present,True,30,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 85,Executive meeting in progress,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite B - Slot 86,Post-meeting cleanup period,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite B - Slot 87,Meeting scheduled in calendar but attendees not present,False,11,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
South Wing - Slot 88,Unscheduled visitors occupying the space,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Hot Desk Area - Slot 89,Standard office space with scheduled occupancy,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Conference Suite A - Slot 90,Standard office space with scheduled occupancy,True,26,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 91,Meeting scheduled in calendar but attendees not present,True,21,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 92,Post-meeting cleanup period,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
South Wing - Slot 93,Training session with full capacity expected,False,15,True,TENANT OVERRIDE -> Reverting to Max Comfort,0,0.0,0.0,0.0
Open Plan - Slot 94,Unscheduled visitors occupying the space,False,52,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
North Wing - Slot 95,Early morning setup before main occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Hot Desk Area - Slot 96,Unscheduled visitors occupying the space,True,37,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Central Hub - Slot 97,Regular working hours with standard occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite B - Slot 98,Regular working hours with standard occupancy,True,24,False,Maintain Normal Comfort,0,0.0,0.0,0.0
North Wing - Slot 99,Executive meeting in progress,False,27,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
North Wing - Slot 100,Team collaboration area with dynamic usage,True,18,False,Maintain Normal Comfort,0,0.0,0.0,0.0
TOTAL,,,,,,,489.0,,0.652
